,external_urls,followers,genres,href,id,images,name,popularity,type,uri
20,{'spotify': 'https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym'},"{'href': None, 'total': 953687}","['electropop', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/45dkTj5sMRSjrmBSBeiHym,45dkTj5sMRSjrmBSBeiHym,"[{'height': 640, 'url': 'https://i.scdn.co/image/f0e25c0e833995fe5da2aef776c332a456b6b982', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/cb4a9bd2b861c47b2f20a610d04ed648aec94ef2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/229492fba255145ddd45fbfba05e6e4ec8075710', 'width': 160}]",Tate McRae,83,artist,spotify:artist:45dkTj5sMRSjrmBSBeiHym
21,{'spotify': 'https://open.spotify.com/artist/7z2avKuuiMAT4XZJFv8Rvh'},"{'href': None, 'total': 760600}","['indie anthem-folk', 'indie cafe pop', 'pop', 'pop dance', 'uk pop']",https://api.spotify.com/v1/artists/7z2avKuuiMAT4XZJFv8Rvh,7z2avKuuiMAT4XZJFv8Rvh,"[{'height': 640, 'url': 'https://i.scdn.co/image/4111a1834db44fb140ca37d1fe5119b16fc2e41c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/35a04bb5727d0822b03460f00e3e9776263bce87', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/031f6c6bffdc58f3e9e74de305ae3920229184a1', 'width': 160}]",Tom Walker,72,artist,spotify:artist:7z2avKuuiMAT4XZJFv8Rvh
22,{'spotify': 'https://open.spotify.com/artist/0naOCLau0NmL1kdFlbZAfr'},"{'href': None, 'total': 512}",[],https://api.spotify.com/v1/artists/0naOCLau0NmL1kdFlbZAfr,0naOCLau0NmL1kdFlbZAfr,"[{'height': 640, 'url': 'https://i.scdn.co/image/58d1ae299859a9c968d89d60e21dccec818913c0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/50014c557dc41d20bf5b7be8483fe05e1ae5aecb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d85161ba8fab4b1c9e6bea3d6cb204234330a281', 'width': 160}]",November Ultra,32,artist,spotify:artist:0naOCLau0NmL1kdFlbZAfr
23,{'spotify': 'https://open.spotify.com/artist/5ie2SvXgvXlTpyqkwLtSd7'},"{'href': None, 'total': 104922}",['indie cafe pop'],https://api.spotify.com/v1/artists/5ie2SvXgvXlTpyqkwLtSd7,5ie2SvXgvXlTpyqkwLtSd7,"[{'height': 640, 'url': 'https://i.scdn.co/image/4f68d6d863d088b561e2fe487175bd3fa60dda85', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d38cd81ec292c0d51e0c7ab26f43ad81d9022eac', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/3f0335b286ff0349abeaaead2caff9faa1f82ba8', 'width': 160}]",Isak Danielson,64,artist,spotify:artist:5ie2SvXgvXlTpyqkwLtSd7
24,{'spotify': 'https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9'},"{'href': None, 'total': 2258590}","['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie']",https://api.spotify.com/v1/artists/3uwAm6vQy7kWPS2bciKWx9,3uwAm6vQy7kWPS2bciKWx9,"[{'height': 640, 'url': 'https://i.scdn.co/image/20050e95006ea5ec52f09c5dca97513a5b990319', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e5cc2acb3daef4ecd87fb5c11e5cf547c0db83fc', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/64e915e5ca9a758930254bf041b938801778b09a', 'width': 160}]",girl in red,78,artist,spotify:artist:3uwAm6vQy7kWPS2bciKWx9
25,{'spotify': 'https://open.spotify.com/artist/1CoZyIx7UvdxT5c8UkMzHd'},"{'href': None, 'total': 1798796}","['pop', 'uk contemporary r&b']",https://api.spotify.com/v1/artists/1CoZyIx7UvdxT5c8UkMzHd,1CoZyIx7UvdxT5c8UkMzHd,"[{'height': 640, 'url': 'https://i.scdn.co/image/553ec9728cc53f47b8d7d5f23f17a1e1957122c2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/dbb4dfb13960e1ee4a75db772cffaeacdd2277ac', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/91e8a93a8abe7f984b622af07e386e6b23c69444', 'width': 160}]",Jorja Smith,77,artist,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd
26,{'spotify': 'https://open.spotify.com/artist/7CanUos0itnFLMrCiT839W'},"{'href': None, 'total': 18327}",['la pop'],https://api.spotify.com/v1/artists/7CanUos0itnFLMrCiT839W,7CanUos0itnFLMrCiT839W,"[{'height': 640, 'url': 'https://i.scdn.co/image/42293eb149350b1e7489863181e818cac6f581dd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/1ef8188bde87712b62363d064114270c8265ca78', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6f56f474ef9d653ea55012b0dd2d4f113aae4b66', 'width': 160}]",Dylan Dunlap,56,artist,spotify:artist:7CanUos0itnFLMrCiT839W
27,{'spotify': 'https://open.spotify.com/artist/6gK1Uct5FEdaUWRWpU4Cl2'},"{'href': None, 'total': 820369}","['new french touch', 'tropical house']",https://api.spotify.com/v1/artists/6gK1Uct5FEdaUWRWpU4Cl2,6gK1Uct5FEdaUWRWpU4Cl2,"[{'height': 640, 'url': 'https://i.scdn.co/image/bbd34f257d58aed5c0f6d93394e9c69ee7722761', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/2c5c211359f575be1af711a7cbc738fb571d820b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d8a32c9b7709a8e1ac4647ef7aa1dd27c05133c8', 'width': 160}]",Petit Biscuit,72,artist,spotify:artist:6gK1Uct5FEdaUWRWpU4Cl2
28,{'spotify': 'https://open.spotify.com/artist/7KTLYKJhcUOMgNgayxBj9f'},"{'href': None, 'total': 53290}",['french pop'],https://api.spotify.com/v1/artists/7KTLYKJhcUOMgNgayxBj9f,7KTLYKJhcUOMgNgayxBj9f,"[{'height': 640, 'url': 'https://i.scdn.co/image/02d1eb509c968298c0bdf108091af53140f1ac8c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/b768ea1383ddaef426c5bffa4a8c7f661f4baf29', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/23a34f495b033769a632ec68df7741060fad1491', 'width': 160}]",Irma,44,artist,spotify:artist:7KTLYKJhcUOMgNgayxBj9f
29,{'spotify': 'https://open.spotify.com/artist/4m9uyzV105Mtdiz7mEco9J'},"{'href': None, 'total': 3406}",['french indietronica'],https://api.spotify.com/v1/artists/4m9uyzV105Mtdiz7mEco9J,4m9uyzV105Mtdiz7mEco9J,"[{'height': 640, 'url': 'https://i.scdn.co/image/5c3827376070d9ad04171566cc9409997409f9ec', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/56104427cc91fb0e57a736d9f6295358d78d2c40', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/feae25d5814c815acfc28ce6e229c54e85602406', 'width': 160}]",Silly Boy Blue,41,artist,spotify:artist:4m9uyzV105Mtdiz7mEco9J
