,external_urls,followers,genres,href,id,images,name,popularity,type,uri
20,{'spotify': 'https://open.spotify.com/artist/1nw8iwDkSSHqn8S343ODcp'},"{'href': None, 'total': 30645}",['french indietronica'],https://api.spotify.com/v1/artists/1nw8iwDkSSHqn8S343ODcp,1nw8iwDkSSHqn8S343ODcp,"[{'height': 640, 'url': 'https://i.scdn.co/image/f4c39c6c56edcd952a83f566a9cbba6255a8fdda', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/be4969d36430708ac4a09eba6ed9cc79d5c7e448', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/482d788a0977ac662fb4d4842e957987493961ab', 'width': 160}]",Chassol,43,artist,spotify:artist:1nw8iwDkSSHqn8S343ODcp
21,{'spotify': 'https://open.spotify.com/artist/05TeWWFqSVEUurt1lVhh4q'},"{'href': None, 'total': 60197}",['french indie pop'],https://api.spotify.com/v1/artists/05TeWWFqSVEUurt1lVhh4q,05TeWWFqSVEUurt1lVhh4q,"[{'height': 640, 'url': 'https://i.scdn.co/image/5737e59073f89557a5a3f744b903763bad24a9a4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7a1e8d294caa8713f4db54c3403ffd01211ffa90', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/9ef20d41fe3fcc5713e0bcb34c30fa7cf29e5e11', 'width': 160}]",Lou Doillon,48,artist,spotify:artist:05TeWWFqSVEUurt1lVhh4q
22,{'spotify': 'https://open.spotify.com/artist/3OOojNFDlThXjpGkztq9gT'},"{'href': None, 'total': 4844}",[],https://api.spotify.com/v1/artists/3OOojNFDlThXjpGkztq9gT,3OOojNFDlThXjpGkztq9gT,"[{'height': 640, 'url': 'https://i.scdn.co/image/56d5875385cb637230460d4521b6e2bfc9b63d5a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/a355ce11843a65ed251c1cf7c3ba3b1b827ac2c9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/25c3b1693d81af4d1da9a3c51729cca25b237d20', 'width': 160}]",Toma,43,artist,spotify:artist:3OOojNFDlThXjpGkztq9gT
23,{'spotify': 'https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X'},"{'href': None, 'total': 27376227}","['latin', 'reggaeton', 'trap latino']",https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X,4q3ewBCX7sLwd24euuV69X,"[{'height': 640, 'url': 'https://i.scdn.co/image/1c66d291db8ab21ac32d045ef28199fb195b97cf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e515d8a5f2a1ec78be486fc51767589ba9790844', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e64b26e7d388070788f47254c5a439b41b5a76f4', 'width': 160}]",Bad Bunny,100,artist,spotify:artist:4q3ewBCX7sLwd24euuV69X
24,{'spotify': 'https://open.spotify.com/artist/40Yq4vzPs9VNUrIBG5Jr2i'},"{'href': None, 'total': 3040414}","['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",https://api.spotify.com/v1/artists/40Yq4vzPs9VNUrIBG5Jr2i,40Yq4vzPs9VNUrIBG5Jr2i,"[{'height': 640, 'url': 'https://i.scdn.co/image/72242b9f5382502e8ea13855b49bb74d6993b34b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c43cf3ff80affd84983f4feec09e7ea4380d6ec2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/9ef45c353bfe5e7dae8048e532b8ac64a4016fee', 'width': 160}]",The Smashing Pumpkins,74,artist,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i
25,{'spotify': 'https://open.spotify.com/artist/5EGOerlVYxwqxaTLEWumBR'},"{'href': None, 'total': 110402}","['french indie pop', 'french indietronica', 'french synthpop', 'new french touch', 'tropical house']",https://api.spotify.com/v1/artists/5EGOerlVYxwqxaTLEWumBR,5EGOerlVYxwqxaTLEWumBR,"[{'height': 640, 'url': 'https://i.scdn.co/image/9a73e063cae9cd624e01312966d563c02553b646', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/466ef3c70f475228efa0fa47ddd373e79d2a9416', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/0bae86ba95ee7a2176d6aa854cfd0ab66184e751', 'width': 160}]",Synapson,56,artist,spotify:artist:5EGOerlVYxwqxaTLEWumBR
26,{'spotify': 'https://open.spotify.com/artist/7rTPCNINGzMp3Hc8Xqht5Z'},"{'href': None, 'total': 408566}","['french hip hop', 'pop urbaine', 'rap francais']",https://api.spotify.com/v1/artists/7rTPCNINGzMp3Hc8Xqht5Z,7rTPCNINGzMp3Hc8Xqht5Z,"[{'height': 640, 'url': 'https://i.scdn.co/image/b3c0735edf2349c3724103a753219bec62ff2f1b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/a21e68ed60871e6277b3d6b6fe2bcbd76abf7322', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/97e33af158691d11eafc59d50c38237edb8534ac', 'width': 160}]",13 Block,69,artist,spotify:artist:7rTPCNINGzMp3Hc8Xqht5Z
27,{'spotify': 'https://open.spotify.com/artist/7uzSMdiiJszDASJE9t8xph'},"{'href': None, 'total': 45362}","['chanson', 'french pop']",https://api.spotify.com/v1/artists/7uzSMdiiJszDASJE9t8xph,7uzSMdiiJszDASJE9t8xph,"[{'height': 640, 'url': 'https://i.scdn.co/image/fa5defc10284abedae4324aad7b557b2b9a6e898', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d930cd088f573fb1df7a8c52f5a077e3d6e7ff51', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6d7acadb865c3f1b42a38b7801ce5324e4c11c35', 'width': 160}]",David Hallyday,42,artist,spotify:artist:7uzSMdiiJszDASJE9t8xph
28,{'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'},"{'href': None, 'total': 1053358}",[],https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of,0LyfQWJT6nXafLPZqxe9Of,"[{'height': 640, 'url': 'https://i.scdn.co/image/8987540724d78afbf9f9249638eefcef38c0853b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/3439f512b1422283239d93985959dc6115eae9c2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/51820ee3bf05021dc690ee7bf804b6d73eedb4a1', 'width': 160}]",Various Artists,0,artist,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
29,{'spotify': 'https://open.spotify.com/artist/1QPdp5duV6lV4XINCzjwQ2'},"{'href': None, 'total': 202513}","['french hip hop', 'pop urbaine', 'rap francais']",https://api.spotify.com/v1/artists/1QPdp5duV6lV4XINCzjwQ2,1QPdp5duV6lV4XINCzjwQ2,"[{'height': 640, 'url': 'https://i.scdn.co/image/1c23d6d8a1748dfc5dffe40cf94a732434dd40d4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/b7a5509f5558bf5590fd3e09f2ba97aff14b33ab', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d3414a88732083ee479fef45d0be64987c061999', 'width': 160}]",Dinos,74,artist,spotify:artist:1QPdp5duV6lV4XINCzjwQ2
30,{'spotify': 'https://open.spotify.com/artist/7MrDzS5aCy6jjBVqRidPCY'},"{'href': None, 'total': 4141}",['new french touch'],https://api.spotify.com/v1/artists/7MrDzS5aCy6jjBVqRidPCY,7MrDzS5aCy6jjBVqRidPCY,"[{'height': 640, 'url': 'https://i.scdn.co/image/8eb8349e3894dde0c22194ddd76974a8d933bb87', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/f34f476f1240665cda9521e57a4b9b6523ab96a2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/28bb80b8ab5fd72b6d88242beaec49075e56932b', 'width': 160}]",La Belle Vie,39,artist,spotify:artist:7MrDzS5aCy6jjBVqRidPCY
31,{'spotify': 'https://open.spotify.com/artist/30DhU7BDmF4PH0JVhu8ZRg'},"{'href': None, 'total': 997866}","['alternative r&b', 'pop']",https://api.spotify.com/v1/artists/30DhU7BDmF4PH0JVhu8ZRg,30DhU7BDmF4PH0JVhu8ZRg,"[{'height': 640, 'url': 'https://i.scdn.co/image/5b0e4f64d1b3dff74e9ba60adcd9cc667992b1f2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0815a5b40db2e16fd0c8fa6f249a524c97afe897', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/b35c19a9a9eecffc59259ab4bff76a92a6c99d1a', 'width': 160}]",Sabrina Claudio,71,artist,spotify:artist:30DhU7BDmF4PH0JVhu8ZRg
32,{'spotify': 'https://open.spotify.com/artist/6icQOAFXDZKsumw3YXyusw'},"{'href': None, 'total': 6728134}","['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",https://api.spotify.com/v1/artists/6icQOAFXDZKsumw3YXyusw,6icQOAFXDZKsumw3YXyusw,"[{'height': 640, 'url': 'https://i.scdn.co/image/e5271c94202acebab521f1977757eae5cafc2a9b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c23807bb829db2cb959d544139c28df39ec99d37', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/95dc5c7d46607fcfb6cad21311b5240d73034f11', 'width': 160}]",Lil Yachty,82,artist,spotify:artist:6icQOAFXDZKsumw3YXyusw
33,{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 34186111}","['dance pop', 'pop', 'pop dance', 'post-teen pop']",https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'height': 640, 'url': 'https://i.scdn.co/image/a37efbc7fd3f5f5df81b48ce9c6de53820b239c1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/dc6f0ac18ad5db302e3c8a28b655b6ca7244ef08', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/b1627ca86690d2c5b6cc2fb1039a31014e96a22b', 'width': 160}]",Taylor Swift,93,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
